exchange,exchangename,scripcode,scripshortname
2,NSEFO,149085,NESTLEIND
2,NSEFO,151985,OFSS
2,NSEFO,151986,OFSS
2,NSEFO,151987,OFSS
2,NSEFO,151988,OFSS
2,NSEFO,151989,OFSS
2,NSEFO,151990,OFSS
2,NSEFO,151991,OFSS
2,NSEFO,151992,OFSS
2,NSEFO,151993,OFSS
2,NSEFO,151994,OFSS
2,NSEFO,151995,ONGC
2,NSEFO,151996,ONGC
2,NSEFO,151997,ONGC
2,NSEFO,151998,ONGC
2,NSEFO,151999,ONGC
2,NSEFO,152000,ONGC
2,NSEFO,152001,ONGC
2,NSEFO,152002,ONGC
2,NSEFO,152003,ONGC
2,NSEFO,152004,ONGC
2,NSEFO,152005,ONGC
2,NSEFO,152006,ONGC
2,NSEFO,152007,ONGC
2,NSEFO,152008,ONGC
2,NSEFO,152009,ONGC
2,NSEFO,152010,ONGC
2,NSEFO,152011,ONGC
2,NSEFO,152012,ONGC
2,NSEFO,152013,ONGC
2,NSEFO,152014,ONGC
2,NSEFO,152015,ONGC
2,NSEFO,152016,ONGC
2,NSEFO,168801,SBICARD
2,NSEFO,168802,SBICARD
2,NSEFO,168803,SBICARD
2,NSEFO,168804,SBICARD
2,NSEFO,168805,SBICARD
2,NSEFO,168806,SBICARD
2,NSEFO,168807,SBICARD
2,NSEFO,168808,SBICARD
2,NSEFO,52371,LICHSGFIN
2,NSEFO,52372,LICHSGFIN
2,NSEFO,52373,LICHSGFIN
2,NSEFO,52374,LICHSGFIN
2,NSEFO,52375,LICHSGFIN
2,NSEFO,52376,LICHSGFIN
2,NSEFO,52377,LICHSGFIN
2,NSEFO,52378,LICHSGFIN
2,NSEFO,168809,SBICARD
2,NSEFO,168810,SBICARD
2,NSEFO,168811,SBICARD
2,NSEFO,168812,SBICARD
2,NSEFO,168813,SBICARD
2,NSEFO,168814,SBICARD
2,NSEFO,168815,SBICARD
2,NSEFO,168816,SBICARD
2,NSEFO,168817,SBICARD
2,NSEFO,168818,SBICARD
2,NSEFO,168819,SBICARD
2,NSEFO,168820,SBICARD
2,NSEFO,168821,SBICARD
2,NSEFO,168822,SBICARD
2,NSEFO,168823,SBICARD
2,NSEFO,168195,RELIANCE
2,NSEFO,168196,RELIANCE
2,NSEFO,168197,RELIANCE
2,NSEFO,168198,RELIANCE
2,NSEFO,168199,RELIANCE
2,NSEFO,168200,RELIANCE
2,NSEFO,168201,RELIANCE
2,NSEFO,168202,RELIANCE
2,NSEFO,168203,RELIANCE
2,NSEFO,168204,RELIANCE
2,NSEFO,168205,RELIANCE
2,NSEFO,168206,RELIANCE
2,NSEFO,168207,RELIANCE
2,NSEFO,168208,RELIANCE
2,NSEFO,168209,RELIANCE
